week_ending,year,serial_no,ortho_dust_offer_qty,ortho_dust_sold_qty,ortho_dust_avg_price
29-Jun-19,2019,26,19214.0,5666.0,92.95
6-Jul-19,2019,27,9500.0,3459.0,90.01
13-Jul-19,2019,28,9603.0,6931.0,93.59
20-Jul-19,2019,29,13002.0,9392.0,93.88
27-Jul-19,2019,30,10686.0,7815.0,97.75
3-Aug-19,2019,31,13392.0,12354.0,86.19
10-Aug-19,2019,32,4348.0,2564.0,97.33
17-Aug-19,2019,33,8330.0,5010.0,88.86
24-Aug-19,2019,34,8947.0,3096.0,89.41
31-Aug-19,2019,35,9716.0,4609.0,89.64
7-Sep-19,2019,36,10813.0,2173.0,91.68
14-Sep-19,2019,37,9825.33,3292.67,90.25
21-Sep-19,2019,38,6880.0,6132.0,91.32
28-Sep-19,2019,39,12143.0,8867.0,94.59
5-Oct-19,2019,40,8096.0,6796.0,103.45
12-Oct-19,2019,41,9516.0,6645.0,95.54
19-Oct-19,2019,42,7808.0,3318.0,109.02
26-Oct-19,2019,43,9764.0,8876.0,105.55
2-Nov-19,2019,44,11894.0,11102.0,108.93
9-Nov-19,2019,45,12113.0,6450.0,101.65
16-Nov-19,2019,46,7579.0,4769.0,95.86
23-Nov-19,2019,47,10473.0,1155.0,84.88
30-Nov-19,2019,48,13118.0,4387.0,84.8
7-Dec-19,2019,49,7027.0,3437.0,88.51
14-Dec-19,2019,50,6483.0,2614.0,96.98
21-Dec-19,2019,51,6982.0,4664.0,97.11
28-Dec-19,2019,52,6966.0,246.0,100.0
11-Jan-20,2020,2,8798.0,3270.0,86.01
18-Jan-20,2020,3,9071.0,2878.5,84.47
25-Jan-20,2020,4,8489.0,2487.0,82.93
1-Feb-20,2020,5,16960.0,5337.0,82.5
8-Feb-20,2020,6,10592.0,1780.0,82.24
15-Feb-20,2020,7,12756.0,3442.0,91.98
22-Feb-20,2020,8,5793.0,2132.0,90.8
29-Feb-20,2020,9,8662.0,3427.0,84.47
7-Mar-20,2020,10,9177.0,4411.0,83.46
14-Mar-20,2020,11,10460.0,3850.0,83.38
21-Mar-20,2020,12,9781.0,1774.0,81.47
28-Mar-20,2020,13,9806.0,3345.0,82.77
4-Apr-20,2020,14,10015.67,2989.67,82.54
11-Apr-20,2020,15,4384.0,3988.0,82.22
18-Apr-20,2020,16,3917.0,3917.0,87.09
25-Apr-20,2020,17,12690.0,7117.0,82.11
2-May-20,2020,18,6997.0,5007.33,83.81
9-May-20,2020,19,12968.0,5990.0,81.68
16-May-20,2020,20,5247.0,3406.0,77.04
23-May-20,2020,21,19592.0,9652.0,78.67
30-May-20,2020,22,22897.0,8323.0,77.36
6-Jun-20,2020,23,26090.0,11122.0,77.87
13-Jun-20,2020,24,19244.0,14338.0,86.22
20-Jun-20,2020,25,23998.0,16180.0,79.24
27-Jun-20,2020,26,10598.0,6218.0,87.86
4-Jul-20,2020,27,9849.0,8265.0,81.92
11-Jul-20,2020,28,15413.0,7152.0,85.72
18-Jul-20,2020,29,20289.0,15539.0,90.28
25-Jul-20,2020,30,12361.0,8042.0,100.71
1-Aug-20,2020,31,16021.0,12359.0,94.68
8-Aug-20,2020,32,10984.0,10984.0,104.15
15-Aug-20,2020,33,16094.0,13393.0,100.7
22-Aug-20,2020,34,11358.0,10691.0,109.35
29-Aug-20,2020,35,14299.0,14299.0,118.85
5-Sep-20,2020,36,13917.0,12794.33,109.63
12-Sep-20,2020,37,11051.0,11051.0,132.1
